_id,id,link,title,Category ID,Category Title,Magnitude Value,Magnitude Unit,Geometry Type,Source ID,Source URL,Date,Time,Longitude,Latitude
Row(oid='6506a0255457d4ab94009af1'),EONET_6425,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6425,"Kilauea Volcano, Hawaii",volcanoes,Volcanoes,,,Point,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=332010,2023-09-10,00:00:00Z,-155.287,19.421
Row(oid='6506a0255457d4ab94009af2'),EONET_6423,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6423,Iceberg D33A,seaLakeIce,Sea and Lake Ice,340.0,NM^2,Point,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08,00:00:00Z,17.14,-69.38
Row(oid='6506a0255457d4ab94009af2'),EONET_6423,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6423,Iceberg D33A,seaLakeIce,Sea and Lake Ice,340.0,NM^2,Point,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-15,00:00:00Z,14.37,-69.23
Row(oid='6506a0255457d4ab94009af3'),EONET_6424,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6424,Iceberg D33B,seaLakeIce,Sea and Lake Ice,252.0,NM^2,Point,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-08,00:00:00Z,18.3,-69.64
Row(oid='6506a0255457d4ab94009af3'),EONET_6424,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6424,Iceberg D33B,seaLakeIce,Sea and Lake Ice,252.0,NM^2,Point,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-09-15,00:00:00Z,16.6,-69.45
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-07,21:00:00Z,-28.3,16.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-07,21:00:00Z,-28.3,16.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-08,03:00:00Z,-29.3,16.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-08,03:00:00Z,-29.3,16.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-08,09:00:00Z,-30.8,17.4
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-08,09:00:00Z,-30.8,17.4
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-08,15:00:00Z,-32.5,18.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-08,15:00:00Z,-32.5,18.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-08,21:00:00Z,-34.3,18.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-08,21:00:00Z,-34.3,18.8
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-09,03:00:00Z,-35.8,19.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,35.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-09,03:00:00Z,-35.8,19.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,40.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-09,09:00:00Z,-36.9,19.9
